axis	pkg	where	repo	version	votes	depends_n	installed_bytes	desc
COMP	hyprland	official	extra	0.56.2-3		62	67126447	a highly customizable dynamic tiling Wayland compo
COMP	niri	official	extra	26.04-1		14	26079705	A scrollable-tiling Wayland compositor
COMP	sway	official	extra	1.12-4		15	5918588	Tiling Wayland compositor and replacement for the 
COMP	river	official	extra	0.4.8-2		8	1141609	a non-monolithic Wayland compositor
COMP	labwc	official	extra	0.20.2-1		16	689814	stacking wayland compositor with look and feel fro
COMP	wayfire	official	extra	0.11.0-1		21	9276553	3D Wayland compositor, inspired by Compiz and base
COMP	dwl	AUR	-	0.9-1	11	1	0	Simple, hackable dynamic tiling Wayland compositor
COMP	mango	AUR	-	2.0.1-1	0	2	0	A tool for making backups of Arch packages and the
COMP	mangowm-git	AUR	-	0.16.0.r0.g7bb3f7e-1	12	12	0	A Wayland compositor with smooth animation
COMP	hyprland-git	AUR	-	0.56.2.r164.g1b85c7a-1	98	49	0	Hyprland is an independent, highly customizable, d
COMP	sway-git	AUR	-	1.11.r7536.0e19d85-1	150	14	0	Tiling Wayland compositor and replacement for the 
SHELL	noctalia	official	extra	5.1.0-1		33	34340621	A sleek, customizable desktop shell crafted for Wa
SHELL	noctalia-shell	NONE	-	-		0	0	
SHELL	noctalia-git	AUR	-	5.0.0.r1191.g39a4a335c-25	8	29	0	A sleek, customizable desktop shell crafted for Wa
SHELL	quickshell	official	extra	0.3.1-1		27	6334842	Flexible toolkit for making desktop shells with Qt
SHELL	quickshell-git	AUR	-	0.3.0.r0.g59e9c47-1	17	11	0	Flexible toolkit for making desktop shells with Qt
SHELL	dms-shell	official	extra	1.6.2-1		3	75308859	A Quickshell-based desktop shell with Material 3 d
SHELL	dms-shell-hyprland	official	extra	1.6.2-1		2	0	A Quickshell-based desktop shell with Material 3 d
SHELL	dms-shell-niri	official	extra	1.6.2-1		2	0	A Quickshell-based desktop shell with Material 3 d
SHELL	waybar	official	extra	0.15.0-3		40	2276905	Highly customizable Wayland bar for Sway and Wlroo
SHELL	hyprpanel	AUR	-	0.3.1-1	0	3	0	An opinionated panel/shell for the Hyprland compos
SHELL	caelestia-shell	AUR	-	2.5.0-1	8	23	0	The desktop shell for the Caelestia dotfiles
SHELL	aylurs-gtk-shell	AUR	-	3.1.2-1	18	6	0	Aylurs's Gtk Shell (AGS), An eww inspired gtk widg
SHELL	ags	AUR	-	3.6.2.21-1	9	9	0	Engine to run adventure/quest games
SHELL	nwg-shell	NONE	-	-		0	0	
SHELL	yambar	AUR	-	1.11.0-1	20	13	0	Modular status panel for X11 and Wayland, inspired
SHELL	sfwbar	AUR	-	1.0_beta17-1	11	5	0	S* Floating Window taskBar
THEME	matugen	official	extra	4.2.0-1		3	11945640	A material you color generation tool
THEME	wallust	AUR	-	3.5.2-1	19	2	0	Generate colors from an image
THEME	python-pywal	AUR	-	3.3.0-11	1	2	0	Generate and change colorschemes on the fly
THEME	pywal	NONE	-	-		0	0	
