stack	pkgs	installed_MB	marginal_pkgs	marginal_MB	aur_roots	aur_unresolved
river+yambar+wallust	172	622.4	45	30.0	yambar;wallust	
mangowm+quickshell+matugen	203	948.6	76	356.2	mangowm-git	scenefx0.5
wayle+rust-dock (no compositor)	227	1007.7	100	415.3	wayle-bin	
hyprland+noctalia+matugen	234	1053.6	107	461.2		
hyprland+quickshell bar	229	1084.0	102	491.6		
hyprland+wayle only	269	1113.7	142	521.3	wayle-bin	
hyprland+wayle+rust-dock	270	1113.7	143	521.4	wayle-bin	
labwc+waybar+wallust	275	1120.1	148	527.7	wallust	
sway+waybar+wallust	274	1124.9	147	532.5	wallust	
niri+noctalia+matugen	240	1131.6	113	539.2		
hyprland+dms+matugen	233	1168.2	106	575.8		
hyprland+waybar+wallust	300	1208.2	173	615.9	wallust	
niri+dms+matugen	238	1242.2	111	649.8		
hyprland+caelestia+matugen	393	1839.5	266	1247.2	caelestia-shell	caelestia-cli;libcava;qt6-m3shapes-git;quickshell-git;ttf-rubik-vf
