feature	pkg	where	repo	version	votes	depends_n	installed_bytes	desc
compositor	hyprland	official	extra	0.56.2-3		62	67126447	a highly customizable dynamic tiling Wayland compositor
compositor	niri	official	extra	26.04-1		14	26079705	A scrollable-tiling Wayland compositor
compositor	sway	official	extra	1.12-4		15	5918588	Tiling Wayland compositor and replacement for the i3 window 
compositor	labwc	official	extra	0.20.2-1		16	689814	stacking wayland compositor with look and feel from openbox
compositor	river	official	extra	0.4.8-2		8	1141609	a non-monolithic Wayland compositor
compositor	wayfire	official	extra	0.11.0-1		21	9276553	3D Wayland compositor, inspired by Compiz and based on wlroo
bar / shell	quickshell	official	extra	0.3.1-1		27	6334842	Flexible toolkit for making desktop shells with QtQuick
bar / shell	waybar	official	extra	0.15.0-3		40	2276905	Highly customizable Wayland bar for Sway and Wlroots based c
bar / shell	noctalia	official	extra	5.1.0-1		33	34340621	A sleek, customizable desktop shell crafted for Wayland
bar / shell	dms-shell	official	extra	1.6.2-1		3	75308859	A Quickshell-based desktop shell with Material 3 design prin
bar / shell	yambar	AUR	-	1.11.0-1	20	13	0	Modular status panel for X11 and Wayland, inspired by polyba
bar / shell	hyprpanel	AUR	-	0.3.1-1	0	3	0	An opinionated panel/shell for the Hyprland compositor.
bar / shell	caelestia-shell	AUR	-	2.5.0-1	8	23	0	The desktop shell for the Caelestia dotfiles
bar / shell	aylurs-gtk-shell	AUR	-	3.1.2-1	18	6	0	Aylurs's Gtk Shell (AGS), An eww inspired gtk widget system.
bar / shell	sfwbar	AUR	-	1.0_beta17-1	11	5	0	S* Floating Window taskBar
bar / shell	wayle-bin	AUR	-	0.7.0-1	2	6	0	A configurable desktop shell for Wayland compositors
launcher	rofi	official	extra	2.0.0-1		17	1120005	A window switcher, application launcher and dmenu replacemen
launcher	wofi	official	extra	1.5.3-1		16	134759	launcher for wlroots-based wayland compositors
launcher	fuzzel	official	extra	1.15.0-1		9	335517	Application launcher for wlroots based Wayland compositors
launcher	tofi	AUR	-	0.9.1-2	41	7	0	Tiny rofi / dmenu replacement for wlroots-based Wayland comp
launcher	anyrun	AUR	-	26.6.1-1	3	1	0	A wayland native, highly customizable runner
launcher	walker	AUR	-	2.17.0-1	27	3	0	wayland application runner
launcher	sirula	AUR	-	1.1.0-1	2	1	0	An app launcher for wayland
notifications	mako	official	extra	1.11.0-1		7	144065	Lightweight notification daemon for Wayland
notifications	dunst	official	extra	1.13.2-2		9	298008	Customizable and lightweight notification-daemon
