axis	pkg	where	repo	version	votes	depends_n	installed_bytes	desc
native	hyprland	official	extra	0.56.2-3		62	67126447	a highly customizable dynamic tiling Wayland compositor
native	quickshell	official	extra	0.3.1-1		27	6334842	Flexible toolkit for making desktop shells with QtQuick
native	qt6-multimedia-ffmpeg	official	extra	6.11.2-1		12	3097968	FFMpeg backend for qt6-multimedia
native	matugen	official	extra	4.2.0-1		3	11945640	A material you color generation tool
native	swww	NONE	-	-		0	0	
native	hyprpicker	official	extra	0.4.7-4		7	236439	A wlroots-compatible Wayland color picker that does not suck
native	hyprpolkitagent	official	extra	0.1.3-10		8	222097	Simple polkit authentication agent for Hyprland, written in 
native	hypridle	official	extra	0.1.8-2		10	285337	hyprland’s idle daemon
native	hyprsunset	official	extra	0.4.0-3		9	267398	An application to enable a blue-light filter on Hyprland
native	cava	official	extra	1.0.0-1		12	233996	Console-based Audio Visualizer with support for multiple bac
native	ghostty	official	extra	1.3.1-2		26	30863708	Fast, native, feature-rich terminal emulator pushing modern 
native	fish	official	extra	4.9.3-1		3	19123652	Smart and user friendly shell intended mostly for interactiv
native	zoxide	official	extra	0.10.0-1		3	1177518	A smarter cd command for your terminal
native	cliphist	official	extra	0.7.0-2		2	2423847	wayland clipboard manager
native	wl-clipboard	official	extra	2.3.0-1		2	103042	Command-line copy/paste utilities for Wayland
native	libnotify	official	extra	0.8.8-1		4	176582	Library for sending desktop notifications
native	imagemagick	official	extra	7.1.2.31-2		19	22890291	An image viewing/manipulation program
native	jq	official	extra	1.8.2-1		2	492406	Command-line JSON processor
native	desktop-file-utils	official	extra	0.28-1		3	184991	Command line utilities for working with desktop entries
native	brightnessctl	official	extra	0.5.1-3		1	29066	Lightweight brightness control tool
native	playerctl	official	extra	2.4.1-5		2	456515	mpris media player controller and lib for spotify, vlc, auda
native	networkmanager	official	extra	1.58.1-1		22	18977665	Network connection manager and user applications
native	bluez	official	extra	5.87-2		5	1812713	Daemons for the bluetooth protocol stack
native	bluez-utils	official	extra	5.87-2		5	3865141	Development and debugging utilities for the bluetooth protoc
native	pipewire	official	extra	1.6.9-1		10	1360998	Low-latency audio/video router and processor
native	wireplumber	official	extra	0.5.17-2		12	1323655	Session / policy manager implementation for PipeWire
native	pamixer	official	extra	1.6-4		3	278396	Pulseaudio command-line mixer like amixer
native	kde-cli-tools	official	extra	6.7.5-1		17	3993849	Tools based on KDE Frameworks to better interact with the sy
native	kdialog	official	extra	26.08.1-1		14	780462	A utility for displaying dialog boxes from shell scripts
native	fastfetch	official	extra	2.68.1-1		2	2105731	A feature-rich and performance oriented neofetch like system
native	ttf-jetbrains-mono-nerd	official	extra	3.5.1-2		0	243181403	Patched font JetBrains Mono from nerd fonts library
native	inter-font	official	extra	4.1-1		0	14967288	A typeface specially designed for user interfaces
native	noto-fonts	official	extra	2026.09.01-1		0	111996917	Google Noto TTF fonts
native	noto-fonts-cjk	official	extra	20240730-1		0	313299069	Google Noto CJK fonts
native	noto-fonts-emoji	official	extra	2.051-1		0	10677810	Google Noto Color Emoji font
native	papirus-icon-theme	official	extra	20260801-1		1	116933252	Papirus icon theme
native	grim	official	extra	1.5.0-2		3	47077	Screenshot utility for Wayland
native	slurp	official	extra	1.5.0-2		3	39477	Select a region in a Wayland compositor
full	dolphin	official	extra	26.08.1-1		33	16500605	KDE File Manager
full	keepassxc	official	extra	2.7.12-5		17	32542553	Cross-platform community-driven port of Keepass password man
full	zathura	official	extra	2026.07.18-1		9	1867924	Minimalistic document viewer
full	zathura-pdf-mupdf	official	extra	2026.07.18-3		8	33216	PDF support for Zathura (MuPDF backend) (Supports PDF, ePub,
full	imv	official	extra	5.0.1-2		11	245430	Image viewer for Wayland and X11
full	rnote	official	extra	0.14.2-2		4	39761138	A simple drawing application to create handwritten notes
aur	bibata-cursor-theme-bin	AUR	-	2.0.7-1	34	0	0	Material Based Cursor Theme
aur	dotool	AUR	-	1.6-1	16	0	0	Command to simulate input anywhere
aur	gpu-screen-recorder	official	extra	6.1.2-1		20	516992	A shadowplay-like screen recorder for Linux. The fastest scr
aur	mpvpaper	AUR	-	1.9-1	19	3	0	video wallpaper program for wlroots based wayland compositor
extra	brave-bin	AUR	-	1:1.95.104-1	1032	5	0	Web browser that blocks ads and trackers by default (binary 
